Weight,Id
0.605742155,辛然
0.605575989,罕贴摩
0.605292119,余人彦
0.60514555,章老三
0.603549186,平婆婆
0.600359052,柳燕
0.600283262,曹能
0.599938863,大悲老人
0.598143597,吕正平
0.598040331,迟玄
0.596931473,舒奇
0.595899031,武三娘
0.594288336,圣因师太
0.593791253,贾布
0.593427563,马五德
0.5927296,侯人英
0.590899915,卓天雄
0.590677147,史叔刚
0.589562777,郑三娘
0.589493112,高克新
0.588359151,哲罗星
0.587552791,袁冠南
0.58613983,马青雄
0.584667904,宗雄
0.58397442,龙德邻
0.583948985,黄甫
0.583853708,丁坚
0.583271237,宁中则
0.58083395,英白罗
0.58083395,陶钧
0.580132795,梅芳姑
0.580132795,梅文馨
0.579882054,袁夫人
0.579423752,冯辉
0.578464607,史小翠
0.578158377,吴六破
0.577611277,解风
0.577600145,范帮主
0.577227257,百草仙
0.575993605,苟读
0.575136482,王仲强
0.573339045,姚春
0.572392065,丧门鬼
0.570518014,马博仁
0.56914332,张淡月
0.567458272,聂钺
0.566358007,孟铸
0.565956268,符敏仪
0.563055229,相国夫人
0.562403797,闻苍松
0.56229841,圆业
0.560087345,彭三春
0.558755883,姚清泉
0.55784742,易师爷
0.557832829,丁游
0.555720311,孙老三
0.555045248,申人俊
0.5544979,冯默风
0.553995573,卫四娘
0.553536022,夏雪宜
0.553499382,冯同知
0.553499382,张若谷
0.553225766,杨光
0.552371442,静迦
0.552366997,岳老三
0.550362832,祁天彪
0.550362832,宫九佳
0.549603432,察罕特穆尔
0.54955868,洪朝
0.548903908,史仲俊
0.547718788,司徒横
0.547192519,行颠
0.54549278,温有方
0.545104687,晦聪禅师
0.544691681,龙骏
0.544204926,逍遥子
0.543111967,石清露
0.542876027,蒋涛
0.540684598,米横野
0.540304202,笑脸鬼
0.539235047,许雪亭
0.538251098,阎世魁
0.538144387,孙刚峰
0.536514447,沈青刚
0.535268567,摘星子
0.534662321,马齐
0.533278625,王家骏
0.532375035,刘乘风
0.532375035,陆天抒
0.531844706,天虹禅师
0.531545663,诸保昆
0.531120882,桑三娘
0.530870172,吕小妹
0.530760454,鲍千灵
0.529361341,张信
0.529196643,宋天保
0.528090053,俏鬼
0.528056892,尉迟连
0.528056892,孙伏虎
0.527566284,梅良鸣
0.527456078,水云道人
0.526931466,韩春霖
0.526433809,祖大寿
0.525111673,元义方
0.524951686,流云使
0.524346001,王惟忠
0.524346001,陈大方
0.524346001,丁大全
0.523813851,易三娘
0.52126311,公孙绿萼
0.52123711,詹春
0.520217391,觉月
0.51914242,催命鬼
0.51674123,建除
0.516530057,钟兆文
0.515937281,易国梓
0.514690668,余兆兴
0.514610751,静照
0.514328248,高则成
0.512357156,皇甫阁
0.511588741,元广波
0.511447003,吴青烈
0.511314657,澄通
0.509841973,游骥
0.509615831,上官铁生
0.509097488,胡老爷
0.508384566,黄希节
0.505608575,上官虹
0.504862668,卫天望
0.504744284,于管家
0.504638524,常长风
0.504638524,花剑影
0.504400164,殷锦
0.503310207,孙克通
0.502395744,忽伦大虎
0.50039838,天竺僧人
0.499359766,宁完我
0.499280563,耶律楚材
0.499082117,殷无寿
0.496516281,马法通
0.494801224,欧阳公政
0.4937543,元澄道人
0.4937543,冯振武
0.493682021,方东白
0.493305728,胡夫人
0.491433025,吴长风
0.491020584,季镖头
0.491020584,崔镖头
0.491020584,郑镖头
0.49052644,点苍渔隐
0.488579128,努儿海
0.487340159,教长
0.486187298,老吴
0.4860414,慧真
0.486027861,本观
0.486027861,本参
0.485136088,黄宗羲
0.48496937,慧观
0.484553431,姚伯当
0.482945767,南怀仁
0.482705285,凯别兴
0.482014496,简管家
0.481664945,狄修
0.481481438,马宝
0.47975621,邓八公
0.479314342,天松道人
0.479190548,申志凡
0.478795105,方天劳
0.478671265,郑长老
0.478405755,无相禅师
0.477468688,心溪
0.476578918,潘秀达
0.476462838,李春来
0.475321108,史秉光
0.473261476,汤祖德
0.473193193,马喇
0.473164583,游驹
0.472735734,震山子
0.47179603,陈高波
0.47179603,齐伯涛
0.470552111,单季山
0.469942529,贾老六
0.469816055,王诚
0.469563816,祝镖头
0.469323983,郭破虏
0.469124404,补锅匠
0.46840977,慧净
0.467290066,郑七灭
0.467290066,周五输
0.467290066,王八衰
0.46588001,杜百当
0.465876474,沙老大
0.465777348,澄识
0.465777348,净济
0.464753612,齐元凯
0.464585597,范文程
0.464006851,沙天江
0.464006851,卜沉
0.463840166,贾人达
0.461690583,郁光标
0.461495186,陈七
0.461169445,韩无垢
0.459706964,高明根
0.456948863,汪啸风
0.456536162,张妈
0.456245198,周阿三
0.455825549,麦少帮主
0.455283325,宋五
0.451912679,季长老
0.451526401,瓦尔拉齐
0.451265189,焦木和尚
0.450529013,史松
0.448992686,潘天耕
0.448592025,欧阳牧之
0.447579777,杨宾
0.447579777,中年武师
0.447434366,覃天丞
0.4467745,温有道
0.445852749,安剑清
0.445821581,慕天颜
0.445821581,马佑
0.444778295,褚轰
0.444568253,褚万春
0.444568253,孙万年
0.443018597,蒋天寿
0.441581021,蓝秦
0.441266312,张中
0.440329511,单伯山
0.439341386,雷一啸
0.439240981,阿里
0.438988557,胡逸之
0.43892135,聋哑婆婆
0.438527239,钟兆英
0.438423904,华伯斯基
0.438423904,齐洛诺夫
0.438152449,邵鹤
0.438133133,任盈盈
0.437912024,曲三
0.436421961,西灵道人
0.435005669,图尔布青
0.434855233,哈赤大师
0.431817306,鲍承先
0.431768888,平夫人
0.431661936,黄国柏
0.431132744,万里风
0.428392751,吉人通
0.428159013,丁同
0.426501754,木文察
0.423751681,张志光
0.423516605,忽伦二虎
0.423284204,哈大霸
0.421276837,阿尔尼
